iter	Passed	Remaining
406	6379	9294
407	6396	9281
408	6412	9266
409	6428	9251
410	6442	9232
411	6454	9212
412	6469	9195
413	6484	9178
414	6499	9162
415	6516	9148
416	6532	9133
417	6548	9117
418	6564	9102
419	6579	9085
420	6593	9068
421	6610	9053
422	6625	9037
423	6639	9019
424	6654	9002
425	6669	8985
426	6688	8975
427	6701	8955
428	6715	8938
429	6731	8922
430	6746	8906
431	6761	8889
432	6776	8873
433	6792	8858
434	6809	8844
435	6826	8830
436	6843	8816
437	6859	8801
438	6876	8787
439	6888	8767
440	6903	8751
441	6915	8730
442	6930	8714
443	6943	8694
444	6957	8677
445	6970	8658
446	6988	8646
447	7004	8630
448	7019	8613
449	7033	8596
450	7048	8580
451	7063	8563
452	7078	8547
453	7094	8531
454	7109	8515
455	7123	8498
456	7139	8483
457	7155	8468
458	7169	8450
459	7183	8433
460	7202	8421
461	7216	8403
462	7230	8386
463	7245	8370
464	7261	8355
465	7276	8338
466	7291	8322
467	7307	8306
468	7322	8290
469	7337	8274
470	7350	8256
471	7375	8250
472	7403	8248
473	7429	8244
474	7454	8238
475	7481	8235
476	7509	8234
477	7532	8225
478	7561	8224
479	7594	8226
480	7625	8227
481	7650	8222
482	7681	8221
483	7704	8214
484	7742	8221
485	7777	8225
486	7815	8232
487	7833	8218
488	7850	8203
489	7867	8188
490	7882	8171
491	7898	8155
492	7915	8139
493	7927	8120
494	7940	8100
495	7956	8084
496	7970	8066
497	7987	8051
498	8001	8033
499	8016	8016
500	8029	7997
501	8042	7977
502	8055	7959
503	8068	7939
504	8083	7923
505	8099	7907
506	8113	7889
507	8128	7872
508	8142	7854
509	8154	7835
510	8170	7818
511	8186	7802
512	8200	7785
513	8215	7767
514	8230	7751
515	8246	7734
516	8260	7717
517	8276	7701
518	8292	7685
519	8313	7673
520	8327	7656
521	8341	7638
522	8355	7620
523	8370	7603
524	8389	7590
525	8403	7573
526	8419	7556
527	8433	7539
528	8446	7520
529	8462	7504
530	8477	7487
531	8492	7470
532	8506	7453
533	8522	7436
534	8536	7419
535	8550	7402
536	8566	7386
537	8581	7369
538	8598	7353
539	8611	7335
540	8626	7318
541	8642	7303
542	8657	7286
543	8672	7269
544	8686	7251
545	8701	7235
546	8715	7217
547	8730	7201
548	8744	7183
549	8760	7167
550	8776	7151
551	8792	7135
552	8806	7118
553	8823	7103
554	8838	7086
555	8854	7070
556	8867	7052
557	8883	7037
558	8897	7019
559	8911	7002
560	8927	6985
561	8942	6969
562	8952	6948
563	8966	6931
564	8978	6912
565	8993	6895
566	9008	6879
567	9022	6862
568	9037	6845
569	9052	6828
570	9065	6811
571	9080	6794
572	9095	6777
573	9108	6760
574	9123	6743
575	9138	6726
576	9151	6709
577	9165	6691
578	9182	6676
579	9196	6659
580	9209	6641
581	9224	6624
582	9238	6608
583	9254	6592
584	9267	6574
585	9283	6558
586	9299	6542
587	9314	6526
588	9329	6509
589	9343	6493
590	9360	6478
591	9376	6462
592	9392	6446
593	9408	6430
594	9420	6412
595	9438	6397
596	9455	6382
597	9482	6374
598	9523	6375
599	9550	6367
600	9573	6355
601	9590	6340
602	9600	6321
603	9615	6304
604	9629	6286
605	9641	6268
606	9656	6251
607	9669	6234
608	9685	6218
609	9699	6201
610	9714	6184
611	9728	6167
612	9743	6151
613	9757	6134
614	9775	6119
615	9804	6111
616	9825	6099
617	9838	6081
618	9853	6064
619	9869	6048
620	9884	6032
621	9899	6015
622	9915	6000
623	9929	5983
624	9946	5967
625	9962	5951
626	9973	5933
627	9988	5916
628	10003	5900
629	10019	5884
630	10034	5868
631	10050	5852
632	10064	5835
633	10079	5818
634	10094	5802
635	10106	5784
636	10122	5768
637	10135	5751
638	10150	5734
639	10164	5717
640	10190	5707
641	10218	5698
642	10233	5681
643	10248	5665
644	10261	5647
645	10276	5631
646	10290	5614
647	10304	5597
648	10318	5580
649	10333	5564
650	10348	5547
651	10362	5531
652	10377	5514
653	10394	5499
654	10407	5482
655	10422	5465
656	10436	5448
657	10451	5432
658	10466	5415
659	10480	5399
660	10494	5382
661	10508	5365
662	10522	5348
663	10536	5331
664	10552	5315
665	10567	5299
666	10582	5283
667	10598	5267
668	10611	5250
669	10626	5233
670	10639	5216
671	10655	5201
672	10670	5184
673	10684	5168
674	10700	5152
675	10715	5136
676	10731	5120
677	10748	5104
678	10765	5089
679	10782	5074
680	10799	5058
681	10816	5043
682	10833	5028
683	10850	5012
684	10865	4996
685	10878	4979
686	10894	4963
687	10910	4947
688	10925	4931
689	10942	4916
690	10958	4900
691	10974	4884
692	10989	4868
693	11004	4852
694	11020	4836
695	11032	4818
696	11047	4802
697	11060	4785
698	11074	4768
699	11087	4751
700	11103	4735
701	11117	4719
702	11131	4702
703	11145	4686
704	11161	4670
705	11176	4654
706	11191	4638
707	11205	4621
708	11220	4605
709	11235	4589
710	11248	4572
711	11264	4556
712	11282	4541
713	11296	4524
714	11309	4507
